Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,HBName,Year,Quarter_single
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1073,2634,2.454799627,NA,1088,3171,2.914522059,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1048,1806,1.723282443,NA,1065,2757,2.588732394,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1048,2303,2.197519084,NA,1068,2939,2.751872659,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,948,2498,2.635021097,NA,975,3237,3.32,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,892,1712,1.919282511,NA,911,2189,2.402854007,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,353,688,1.949008499,NA,351,1021,2.908831909,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,666,1361,2.043543544,NA,668,1935,2.896706587,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,762,1392,1.826771654,NA,783,2029,2.591315453,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,638,1167,1.829153605,NA,634,1326,2.09148265,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,797,1393,1.747804266,NA,806,1925,2.388337469,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,647,1383,2.13755796,NA,656,1801,2.745426829,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,583,1380,2.367066895,NA,596,2134,3.580536913,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,546,1031,1.888278388,NA,543,1370,2.523020258,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,625,1321,2.1136,NA,635,1806,2.844094488,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,716,1414,1.974860335,NA,721,2129,2.952843273,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,738,1447,1.960704607,NA,750,2124,2.832,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1666,3705,2.223889556,NA,1667,4813,2.887222555,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1575,3600,2.285714286,NA,1570,5361,3.414649682,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1619,3500,2.161828289,NA,1629,4643,2.850214856,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1598,3547,2.219649562,NA,1619,4742,2.928968499,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1563,3234,2.069097889,NA,1579,4687,2.968334389,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1511,2946,1.949702184,NA,1525,4590,3.009836066,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1544,3862,2.501295337,NA,1570,4565,2.907643312,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1477,3528,2.388625592,NA,1496,5108,3.414438503,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1442,3633,2.519417476,NA,1458,4577,3.139231824,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1340,2870,2.141791045,NA,1357,3986,2.937361828,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,553,1100,1.98915009,NA,552,1395,2.527173913,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,939,2168,2.308839191,NA,945,2814,2.977777778,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,999,2113,2.115115115,NA,1016,3047,2.999015748,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,846,2499,2.953900709,NA,856,3273,3.823598131,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1107,2132,1.925925926,NA,1122,2861,2.549910873,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,963,2321,2.410176532,NA,967,2619,2.708376422,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,865,2042,2.360693642,NA,879,2785,3.168373151,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,813,1744,2.145141451,NA,828,2417,2.919082126,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,891,2072,2.325476992,NA,889,2557,2.876265467,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1011,2285,2.260138477,NA,1015,2989,2.944827586,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,40-49 years,1082,2251,2.080406654,NA,1096,3383,3.086678832,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,3011,7924,2.631683826,NA,3035,10815,3.563426689,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2800,7349,2.624642857,NA,2790,9789,3.508602151,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2973,7637,2.568785738,NA,2990,10295,3.443143813,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2797,7280,2.602788702,NA,2848,10418,3.658005618,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2834,7494,2.644318984,NA,2860,10448,3.653146853,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2804,6631,2.364835949,NA,2824,8679,3.073300283,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2846,6723,2.362262825,NA,2886,9364,3.244629245,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2710,6640,2.450184502,NA,2743,8951,3.263215458,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2706,6140,2.269031781,NA,2738,8195,2.993060628,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2495,6032,2.417635271,NA,2524,8688,3.442155309,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,847,2129,2.513577332,NA,848,3599,4.244103774,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1598,3805,2.381101377,NA,1603,5642,3.519650655,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1909,4958,2.597171294,NA,1959,6849,3.496171516,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1553,3911,2.518351578,NA,1558,5135,3.295892169,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2069,5331,2.576607057,NA,2093,7326,3.500238892,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1783,4847,2.718452047,NA,1806,6776,3.751937984,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1646,4450,2.703523694,NA,1670,6279,3.75988024,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1608,3614,2.247512438,NA,1613,5461,3.385616863,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1764,3939,2.232993197,NA,1795,5621,3.131476323,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,1943,5579,2.87133299,NA,1958,7376,3.767109295,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,50-59 years,2078,5105,2.456689124,NA,2106,7067,3.355650522,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3486,9892,2.837636259,NA,3494,13412,3.838580424,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3187,9017,2.829306558,NA,3183,12354,3.881244109,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3488,9630,2.760894495,NA,3475,13452,3.871079137,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3350,9084,2.711641791,NA,3395,12866,3.789690722,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3356,8958,2.669249106,NA,3404,13964,4.102232667,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3304,9025,2.73153753,NA,3298,11450,3.471801092,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3401,8968,2.636871508,NA,3424,12387,3.617698598,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3331,9173,2.753827679,NA,3355,13004,3.876005961,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,3301,8459,2.562556801,NA,3352,12311,3.672732697,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2989,7436,2.487788558,NA,3025,10755,3.555371901,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,1120,3183,2.841964286,NA,1121,5372,4.792149866,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,1944,5018,2.58127572,NA,1984,7856,3.959677419,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2300,5855,2.545652174,NA,2345,8272,3.52750533,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,1860,5131,2.758602151,NA,1879,7471,3.976051091,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2507,6495,2.590745911,NA,2524,9054,3.587163233,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2395,7478,3.122338205,NA,2414,10043,4.16031483,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2135,6066,2.841217799,NA,2172,9375,4.316298343,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2097,5354,2.553171197,NA,2114,7801,3.690160833,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2407,6111,2.538845035,NA,2425,9307,3.837938144,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2619,6505,2.483772432,NA,2653,9336,3.519035055,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,60-69 years,2672,7432,2.781437126,NA,2717,10254,3.774015458,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3261,10831,3.321373812,NA,3294,16677,5.06284153,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2882,9189,3.188410826,NA,2888,13562,4.69598338,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3437,10749,3.127436718,NA,3413,14487,4.244652798,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3203,9881,3.084920387,NA,3231,14233,4.405137728,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3310,9645,2.913897281,NA,3364,14854,4.415576694,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3232,9766,3.021658416,NA,3231,12734,3.941194677,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3256,9457,2.904484029,NA,3264,14202,4.351102941,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3270,9727,2.974617737,NA,3283,14153,4.31099604,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,3350,9548,2.850149254,NA,3366,14233,4.228461081,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2823,8339,2.953949699,NA,2869,12624,4.400139421,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,937,3050,3.25506937,NA,919,5176,5.632208923,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,1827,5023,2.749315818,NA,1857,7909,4.259019925,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2131,6332,2.971374941,NA,2184,9773,4.47481685,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,1618,4836,2.988875155,NA,1636,7734,4.727383863,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2426,6983,2.87840066,NA,2438,9703,3.979901559,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2222,6872,3.092709271,NA,2253,10253,4.550821127,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2020,5360,2.653465347,NA,2061,8945,4.340126152,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,1958,5560,2.839632278,NA,1963,8259,4.207335711,NA,NA,2022,Q1
